epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,95.7132,2.04998,3.10208,1.06971,0.00024,0.01079,0.00017,3e-05,1.87353,4.01393,1.09429,0.000240525,0.000240525,0.000240525
3,169.41,1.90026,1.91789,1.02838,0.01226,0.193,0.14575,0.07623,1.80796,3.54398,1.01483,0.000364184,0.000364184,0.000364184
4,240.474,1.87374,1.5112,1.0357,0.04096,0.54377,0.48206,0.24185,1.75533,2.94839,0.99699,0.000485296,0.000485296,0.000485296
5,358.706,1.86102,1.35203,0.99497,0.98955,0.12226,0.56592,0.29901,1.64811,2.54518,0.98521,0.000603861,0.000603861,0.000603861
6,482.208,1.71908,1.18943,0.97529,0.92903,0.19887,0.57198,0.29936,1.6677,2.42645,1.00044,0.00071988,0.00071988,0.00071988
7,607.708,1.66669,1.12257,0.97395,0.9907,0.25457,0.65492,0.34229,1.6191,2.30438,0.99159,0.000833353,0.000833353,0.000833353
8,733.306,1.59833,1.07188,0.96942,0.87731,0.30598,0.69692,0.3723,1.57573,2.12355,0.97158,0.000944279,0.000944279,0.000944279
9,850.377,1.67767,1.24324,1.05539,0.8023,0.49183,0.71728,0.38003,1.56039,1.87067,0.95358,0.00105266,0.00105266,0.00105266
10,959.337,1.62549,1.01714,0.96927,0.81273,0.50946,0.71961,0.35541,1.6651,1.80972,0.98328,0.00115849,0.00115849,0.00115849
11,1067.5,1.60022,0.9692,0.96986,0.84189,0.65567,0.75794,0.39986,1.53811,1.63279,0.95202,0.00126178,0.00126178,0.00126178
12,1175.93,1.60658,0.96344,0.96899,0.85826,0.71936,0.76596,0.38704,1.60554,1.36439,0.9616,0.00127338,0.00127338,0.00127338
13,1286.56,1.55331,0.94693,0.95832,0.82359,0.73546,0.79204,0.4379,1.46758,1.24636,0.93374,0.00125923,0.00125923,0.00125923
14,1390.91,1.56507,0.92191,0.95823,0.79742,0.74378,0.79107,0.43267,1.46307,1.16239,0.9373,0.00124509,0.00124509,0.00124509
15,1505.62,1.54997,0.91052,0.95757,0.87703,0.78001,0.82638,0.45659,1.41867,1.05885,0.92778,0.00123094,0.00123094,0.00123094
16,1574.98,1.53944,0.91491,0.96056,0.86772,0.77135,0.82356,0.45412,1.39448,0.9845,0.92465,0.00121679,0.00121679,0.00121679
17,1645.84,1.47772,0.84821,0.9475,0.85909,0.77943,0.82642,0.46771,1.42252,0.91314,0.92551,0.00120265,0.00120265,0.00120265
18,1715.33,1.55392,0.92871,0.93455,0.86976,0.80175,0.83753,0.4598,1.425,0.90506,0.92447,0.0011885,0.0011885,0.0011885
19,1784.94,1.5129,0.85639,0.93576,0.87986,0.80419,0.83735,0.47238,1.40438,0.90489,0.92576,0.00117435,0.00117435,0.00117435
20,1852.19,1.46331,0.83066,0.92561,0.87792,0.79587,0.85622,0.47218,1.43269,0.88727,0.92976,0.00116021,0.00116021,0.00116021
21,1913.38,1.50045,0.81404,0.92595,0.90816,0.81913,0.8643,0.49177,1.35594,0.80782,0.9176,0.00114606,0.00114606,0.00114606
22,1974.18,1.55087,0.83868,0.93838,0.91834,0.81666,0.85944,0.48829,1.36602,0.85307,0.91306,0.00113191,0.00113191,0.00113191
23,2034.52,1.47829,0.81582,0.94249,0.92803,0.81036,0.86282,0.49255,1.35741,0.79972,0.91612,0.00111776,0.00111776,0.00111776
24,2095.94,1.59735,0.83571,0.95148,0.91272,0.81072,0.85675,0.46393,1.47292,0.83035,0.94977,0.00110362,0.00110362,0.00110362
25,2158.02,1.49447,0.84257,0.92766,0.91772,0.82081,0.8669,0.50082,1.34767,0.79494,0.91351,0.00108947,0.00108947,0.00108947
26,2219.88,1.49885,0.82889,0.92863,0.91134,0.81894,0.85831,0.46481,1.45227,0.82313,0.92575,0.00107532,0.00107532,0.00107532
27,2281.21,1.50437,0.80904,0.93103,0.91463,0.8291,0.87077,0.47455,1.44991,0.78139,0.93292,0.00106118,0.00106118,0.00106118
28,2343.21,1.43366,0.79279,0.91694,0.91485,0.85172,0.89249,0.51237,1.34794,0.7437,0.91171,0.00104703,0.00104703,0.00104703
29,2404.59,1.42874,0.77436,0.91853,0.91195,0.86924,0.89307,0.50107,1.36206,0.74747,0.91602,0.00103288,0.00103288,0.00103288
30,2466.26,1.38519,0.7611,0.91794,0.91778,0.84324,0.87758,0.52093,1.29966,0.74629,0.90315,0.00101873,0.00101873,0.00101873
31,2527.2,1.42204,0.76814,0.91385,0.91468,0.83693,0.87392,0.52148,1.29595,0.73053,0.9003,0.00100459,0.00100459,0.00100459
32,2590.56,1.45183,0.75686,0.91912,0.92873,0.84932,0.89057,0.52513,1.32329,0.71339,0.90609,0.00099044,0.00099044,0.00099044
33,2652.8,1.41181,0.75231,0.91887,0.92488,0.85744,0.8943,0.52614,1.29893,0.71911,0.89992,0.000976293,0.000976293,0.000976293
34,2715.38,1.42881,0.76273,0.93028,0.93898,0.85753,0.89204,0.5241,1.32027,0.70282,0.90668,0.000962146,0.000962146,0.000962146
35,2857.12,1.40348,0.73558,0.91413,0.94471,0.85891,0.89619,0.54543,1.26426,0.68051,0.89507,0.000947999,0.000947999,0.000947999
36,2952.38,1.34023,0.71225,0.90909,0.94853,0.85962,0.897,0.53221,1.30982,0.69819,0.90596,0.000933851,0.000933851,0.000933851
37,3128.3,1.3718,0.73732,0.91869,0.93848,0.86494,0.89233,0.52908,1.29835,0.68356,0.90362,0.000919704,0.000919704,0.000919704
38,3221.72,1.47519,0.78513,0.90788,0.93423,0.86303,0.89864,0.54468,1.29132,0.70295,0.90112,0.000905557,0.000905557,0.000905557
39,3284.31,1.33184,0.69914,0.90552,0.92586,0.8731,0.897,0.52723,1.32779,0.68427,0.9096,0.00089141,0.00089141,0.00089141
40,3351.24,1.44194,0.73542,0.90265,0.94437,0.88257,0.90907,0.54289,1.24706,0.66921,0.89092,0.000877263,0.000877263,0.000877263
41,3420.55,1.40405,0.71235,0.90268,0.95703,0.87929,0.9086,0.56587,1.21852,0.64435,0.89018,0.000863116,0.000863116,0.000863116
42,3483.65,1.35587,0.69607,0.90806,0.95113,0.87734,0.91001,0.55271,1.25144,0.65923,0.89458,0.000848969,0.000848969,0.000848969
43,3545.77,1.34306,0.70031,0.90278,0.96375,0.88421,0.91288,0.56273,1.22276,0.6624,0.88613,0.000834822,0.000834822,0.000834822
44,3608.54,1.37987,0.69111,0.90638,0.93697,0.88012,0.90656,0.55141,1.23344,0.64904,0.88831,0.000820675,0.000820675,0.000820675
45,3673.15,1.38345,0.68209,0.91014,0.96046,0.88151,0.91309,0.55753,1.25469,0.65891,0.89105,0.000806528,0.000806528,0.000806528
46,3747.66,1.38545,0.69669,0.905,0.95439,0.87904,0.90545,0.56401,1.23108,0.65575,0.88745,0.00079238,0.00079238,0.00079238
47,3809.3,1.28725,0.66954,0.90489,0.96186,0.87119,0.90244,0.5419,1.26257,0.63479,0.88999,0.000778233,0.000778233,0.000778233
48,3872.29,1.30769,0.66965,0.90632,0.94522,0.89259,0.91714,0.5686,1.20638,0.63046,0.88111,0.000764086,0.000764086,0.000764086
49,3933.57,1.34779,0.67523,0.89771,0.96537,0.88797,0.91552,0.57536,1.1894,0.61948,0.88005,0.000749939,0.000749939,0.000749939
50,3996,1.34074,0.68155,0.91183,0.96204,0.88932,0.91177,0.54663,1.26061,0.63494,0.8922,0.000735792,0.000735792,0.000735792
51,4058.35,1.30688,0.6576,0.88901,0.95965,0.89079,0.90984,0.56774,1.19859,0.62734,0.88372,0.000721645,0.000721645,0.000721645
52,4119.57,1.27249,0.63984,0.89944,0.96025,0.88929,0.9103,0.57929,1.19071,0.6202,0.8825,0.000707498,0.000707498,0.000707498
53,4181.78,1.29085,0.65054,0.89029,0.96832,0.88383,0.9178,0.58654,1.18857,0.63202,0.88239,0.000693351,0.000693351,0.000693351
54,4241.97,1.34249,0.65998,0.89733,0.9563,0.88626,0.92224,0.5645,1.22064,0.63109,0.89304,0.000679204,0.000679204,0.000679204
55,4302.32,1.33242,0.66154,0.89779,0.95766,0.88622,0.91882,0.57622,1.18125,0.62639,0.88074,0.000665057,0.000665057,0.000665057
56,4381.27,1.33472,0.6575,0.89659,0.9549,0.8959,0.92295,0.58065,1.16917,0.61429,0.87868,0.000650909,0.000650909,0.000650909
57,4456.89,1.30424,0.6371,0.89559,0.95614,0.8965,0.92084,0.5744,1.19602,0.60071,0.88338,0.000636762,0.000636762,0.000636762
58,4524.2,1.3007,0.64554,0.88881,0.94711,0.8991,0.92219,0.58061,1.17258,0.61095,0.87778,0.000622615,0.000622615,0.000622615
59,4583.98,1.26888,0.64158,0.88601,0.96301,0.88656,0.91966,0.58439,1.1736,0.60625,0.88296,0.000608468,0.000608468,0.000608468
60,4641.96,1.27712,0.62635,0.90019,0.95791,0.89648,0.92507,0.59179,1.15851,0.58247,0.8801,0.000594321,0.000594321,0.000594321
61,4700.61,1.24255,0.62485,0.88617,0.96901,0.89954,0.9246,0.57713,1.24699,0.60692,0.89388,0.000580174,0.000580174,0.000580174
62,4760.84,1.24799,0.61822,0.8913,0.96723,0.90056,0.92523,0.58896,1.16494,0.58633,0.87528,0.000566027,0.000566027,0.000566027
63,4819.78,1.23962,0.61617,0.88673,0.95739,0.89913,0.92191,0.59015,1.14938,0.5796,0.87677,0.00055188,0.00055188,0.00055188
64,4880.1,1.22557,0.6072,0.88025,0.97274,0.90385,0.92968,0.60564,1.12087,0.56976,0.86678,0.000537733,0.000537733,0.000537733
65,4940.03,1.30595,0.6291,0.88204,0.96492,0.89947,0.9252,0.60083,1.13762,0.56853,0.87135,0.000523586,0.000523586,0.000523586
66,5008.85,1.23822,0.60364,0.87835,0.95448,0.89491,0.92147,0.59877,1.15478,0.57059,0.87763,0.000509438,0.000509438,0.000509438
67,5077.03,1.28587,0.63098,0.8826,0.9702,0.90087,0.92424,0.59743,1.14463,0.56098,0.87275,0.000495291,0.000495291,0.000495291
68,5145.87,1.25824,0.60654,0.89005,0.96961,0.90124,0.92146,0.59704,1.11823,0.56768,0.86904,0.000481144,0.000481144,0.000481144
69,5213.75,1.23856,0.61109,0.88272,0.9702,0.9054,0.92416,0.60455,1.13242,0.58412,0.86925,0.000466997,0.000466997,0.000466997
70,5279.95,1.22312,0.62484,0.88231,0.97604,0.90943,0.92929,0.6191,1.11084,0.56802,0.86571,0.00045285,0.00045285,0.00045285
71,5342.6,1.24687,0.60556,0.88962,0.95772,0.91485,0.92978,0.60802,1.12561,0.56126,0.87309,0.000438703,0.000438703,0.000438703
72,5403.33,1.24728,0.61695,0.89185,0.97285,0.90355,0.9329,0.6088,1.13343,0.56502,0.86943,0.000424556,0.000424556,0.000424556
73,5500.3,1.24819,0.61145,0.88238,0.97594,0.90113,0.93239,0.60309,1.14742,0.56241,0.87289,0.000410409,0.000410409,0.000410409
74,5609.25,1.23574,0.60492,0.8708,0.97323,0.91067,0.93406,0.61859,1.10452,0.55306,0.86492,0.000396262,0.000396262,0.000396262
75,5735.4,1.24619,0.60104,0.886,0.96962,0.91707,0.93595,0.61932,1.08888,0.5461,0.86331,0.000382115,0.000382115,0.000382115
76,5857.99,1.20307,0.58989,0.89262,0.9743,0.90658,0.93084,0.61767,1.07849,0.54532,0.85756,0.000367967,0.000367967,0.000367967
77,5980.24,1.21257,0.60401,0.87651,0.96681,0.90787,0.93083,0.62577,1.06004,0.53134,0.85662,0.00035382,0.00035382,0.00035382
78,6101.8,1.19107,0.59766,0.88709,0.98018,0.90691,0.93399,0.61628,1.11941,0.54235,0.8635,0.000339673,0.000339673,0.000339673
79,6206.48,1.18806,0.58549,0.87636,0.97371,0.90956,0.93614,0.6119,1.15145,0.55166,0.86753,0.000325526,0.000325526,0.000325526
80,6310.06,1.1631,0.5683,0.88026,0.97505,0.90995,0.93742,0.62896,1.07604,0.53449,0.86109,0.000311379,0.000311379,0.000311379
81,6414.52,1.17032,0.56753,0.86935,0.98909,0.90793,0.93718,0.61348,1.11503,0.5407,0.86561,0.000297232,0.000297232,0.000297232
82,6519.81,1.17983,0.57058,0.87157,0.98407,0.90491,0.93742,0.62046,1.09662,0.53993,0.86008,0.000283085,0.000283085,0.000283085
83,6624.11,1.16904,0.56604,0.86687,0.98493,0.9074,0.9364,0.638,1.03309,0.52176,0.8548,0.000268938,0.000268938,0.000268938
84,7044.08,1.16883,0.57411,0.87039,0.97875,0.91245,0.93758,0.6389,1.05636,0.52642,0.85776,0.000254791,0.000254791,0.000254791
85,7105.82,1.15302,0.57053,0.8743,0.97418,0.91527,0.93753,0.6339,1.06216,0.52098,0.8577,0.000240644,0.000240644,0.000240644
86,7167.29,1.16736,0.56993,0.8682,0.97231,0.92077,0.94161,0.63022,1.06837,0.52425,0.85796,0.000226497,0.000226497,0.000226497
87,7228.08,1.16041,0.56889,0.87442,0.97673,0.92226,0.94229,0.6338,1.05882,0.51866,0.85865,0.000212349,0.000212349,0.000212349
88,7289.86,1.17166,0.56892,0.86482,0.97688,0.91972,0.94075,0.6443,1.03079,0.51669,0.85414,0.000198202,0.000198202,0.000198202
89,7351.17,1.17598,0.57369,0.87348,0.98256,0.91094,0.93999,0.64836,1.0217,0.5225,0.85208,0.000184055,0.000184055,0.000184055
90,7411.44,1.13314,0.56059,0.88254,0.9886,0.91328,0.93947,0.64693,1.02244,0.52598,0.8507,0.000169908,0.000169908,0.000169908
91,7469.9,1.17739,0.60341,0.88246,0.97787,0.91291,0.93704,0.62869,1.08578,0.53707,0.85686,0.000155761,0.000155761,0.000155761
92,7529.26,1.11318,0.57465,0.86926,0.97321,0.9137,0.93618,0.61811,1.13121,0.55171,0.86148,0.000141614,0.000141614,0.000141614
93,7587.79,1.13721,0.58164,0.86632,0.97218,0.91652,0.93526,0.64143,1.0521,0.5434,0.85171,0.000127467,0.000127467,0.000127467
94,7648.64,1.09931,0.54699,0.87076,0.97147,0.91441,0.93537,0.64434,1.0366,0.5324,0.85059,0.00011332,0.00011332,0.00011332
95,7709.67,1.11607,0.55154,0.86077,0.97486,0.91146,0.93547,0.64493,1.02705,0.52394,0.84887,9.91726e-05,9.91726e-05,9.91726e-05
96,40187.1,1.10461,0.54539,0.87877,0.97145,0.91143,0.93518,0.63675,1.03812,0.52169,0.84927,8.50255e-05,8.50255e-05,8.50255e-05
97,40230,1.09765,0.54008,0.86929,0.97926,0.9168,0.93713,0.6378,1.03869,0.52139,0.84906,7.08784e-05,7.08784e-05,7.08784e-05
98,40294.1,1.11369,0.54718,0.8758,0.98284,0.92119,0.93976,0.63883,1.03857,0.52105,0.84979,5.67313e-05,5.67313e-05,5.67313e-05
99,40398.4,1.07337,0.53416,0.86506,0.98193,0.92259,0.93941,0.64262,1.02948,0.51922,0.8492,4.25842e-05,4.25842e-05,4.25842e-05
100,40523.8,1.07203,0.53091,0.87079,0.98299,0.92071,0.93927,0.64614,1.01423,0.51644,0.84778,2.84371e-05,2.84371e-05,2.84371e-05
